	Acinetobacter_baumannii	Mycobacterium_leprae
Number of genes	525	1875
Number of genes in orthogroups	379	665
Number of unassigned genes	146	1210
Percentage of genes in orthogroups	72.2	35.5
Percentage of unassigned genes	27.8	64.5
Number of orthogroups containing species	285	372
Percentage of orthogroups containing species	72.9	95.1
Number of species-specific orthogroups	19	106
Number of genes in species-specific orthogroups	45	311
Percentage of genes in species-specific orthogroups	8.6	16.6


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	106	19
'1	225	226
'2	41	78
'3	14	38
'4	2	13
'5	0	11
'6	1	2
'7	1	2
'8	0	0
'9	1	0
'10	0	0
11-15	0	1
16-20	0	0
21-50	0	1
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	27.1	4.9
'1	57.5	57.8
'2	10.5	19.9
'3	3.6	9.7
'4	0.5	3.3
'5	0.0	2.8
'6	0.3	0.5
'7	0.3	0.5
'8	0.0	0.0
'9	0.3	0.0
'10	0.0	0.0
11-15	0.0	0.3
16-20	0.0	0.0
21-50	0.0	0.3
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	225	226
'2	82	156
'3	42	114
'4	8	52
'5	0	55
'6	6	12
'7	7	14
'8	0	0
'9	9	0
'10	0	0
11-15	0	15
16-20	0	0
21-50	0	21
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	42.9	12.1
'2	15.6	8.3
'3	8.0	6.1
'4	1.5	2.8
'5	0.0	2.9
'6	1.1	0.6
'7	1.3	0.7
'8	0.0	0.0
'9	1.7	0.0
'10	0.0	0.0
11-15	0.0	0.8
16-20	0.0	0.0
21-50	0.0	1.1
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
