	Acinetobacter_baumannii	Mycobacterium_tuberculosis
Number of genes	525	3562
Number of genes in orthogroups	394	2068
Number of unassigned genes	131	1494
Percentage of genes in orthogroups	75.0	58.1
Percentage of unassigned genes	25.0	41.9
Number of orthogroups containing species	319	688
Percentage of orthogroups containing species	45.2	97.6
Number of species-specific orthogroups	17	386
Number of genes in species-specific orthogroups	40	1583
Percentage of genes in species-specific orthogroups	7.6	44.4


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	386	17
'1	263	234
'2	45	225
'3	7	84
'4	2	52
'5	1	32
'6	0	11
'7	1	11
'8	0	11
'9	0	4
'10	0	2
11-15	0	11
16-20	0	5
21-50	0	4
51-100	0	2
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	54.8	2.4
'1	37.3	33.2
'2	6.4	31.9
'3	1.0	11.9
'4	0.3	7.4
'5	0.1	4.5
'6	0.0	1.6
'7	0.1	1.6
'8	0.0	1.6
'9	0.0	0.6
'10	0.0	0.3
11-15	0.0	1.6
16-20	0.0	0.7
21-50	0.0	0.6
51-100	0.0	0.3
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	263	234
'2	90	450
'3	21	252
'4	8	208
'5	5	160
'6	0	66
'7	7	77
'8	0	88
'9	0	36
'10	0	20
11-15	0	142
16-20	0	91
21-50	0	99
51-100	0	145
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	50.1	6.6
'2	17.1	12.6
'3	4.0	7.1
'4	1.5	5.8
'5	1.0	4.5
'6	0.0	1.9
'7	1.3	2.2
'8	0.0	2.5
'9	0.0	1.0
'10	0.0	0.6
11-15	0.0	4.0
16-20	0.0	2.6
21-50	0.0	2.8
51-100	0.0	4.1
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
