	Neisseria_gonorrhoeae	Pseudomonas_aeruginosa
Number of genes	7	5514
Number of genes in orthogroups	6	3348
Number of unassigned genes	1	2166
Percentage of genes in orthogroups	85.7	60.7
Percentage of unassigned genes	14.3	39.3
Number of orthogroups containing species	6	701
Percentage of orthogroups containing species	0.9	100.0
Number of species-specific orthogroups	0	695
Number of genes in species-specific orthogroups	0	3342
Percentage of genes in species-specific orthogroups	0.0	60.6


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	695	0
'1	6	6
'2	0	316
'3	0	140
'4	0	71
'5	0	39
'6	0	30
'7	0	15
'8	0	14
'9	0	9
'10	0	14
11-15	0	19
16-20	0	11
21-50	0	13
51-100	0	2
101-150	0	2
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	99.1	0.0
'1	0.9	0.9
'2	0.0	45.1
'3	0.0	20.0
'4	0.0	10.1
'5	0.0	5.6
'6	0.0	4.3
'7	0.0	2.1
'8	0.0	2.0
'9	0.0	1.3
'10	0.0	2.0
11-15	0.0	2.7
16-20	0.0	1.6
21-50	0.0	1.9
51-100	0.0	0.3
101-150	0.0	0.3
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	6	6
'2	0	632
'3	0	420
'4	0	284
'5	0	195
'6	0	180
'7	0	105
'8	0	112
'9	0	81
'10	0	140
11-15	0	233
16-20	0	191
21-50	0	386
51-100	0	146
101-150	0	237
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	85.7	0.1
'2	0.0	11.5
'3	0.0	7.6
'4	0.0	5.2
'5	0.0	3.5
'6	0.0	3.3
'7	0.0	1.9
'8	0.0	2.0
'9	0.0	1.5
'10	0.0	2.5
11-15	0.0	4.2
16-20	0.0	3.5
21-50	0.0	7.0
51-100	0.0	2.6
101-150	0.0	4.3
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
