	Neisseria_gonorrhoeae	Salmonella_enterica
Number of genes	7	4116
Number of genes in orthogroups	6	2396
Number of unassigned genes	1	1720
Percentage of genes in orthogroups	85.7	58.2
Percentage of unassigned genes	14.3	41.8
Number of orthogroups containing species	6	628
Percentage of orthogroups containing species	1.0	100.0
Number of species-specific orthogroups	0	622
Number of genes in species-specific orthogroups	0	2390
Percentage of genes in species-specific orthogroups	0.0	58.1


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	622	0
'1	6	6
'2	0	301
'3	0	128
'4	0	72
'5	0	31
'6	0	25
'7	0	20
'8	0	10
'9	0	6
'10	0	8
11-15	0	10
16-20	0	4
21-50	0	5
51-100	0	2
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	99.0	0.0
'1	1.0	1.0
'2	0.0	47.9
'3	0.0	20.4
'4	0.0	11.5
'5	0.0	4.9
'6	0.0	4.0
'7	0.0	3.2
'8	0.0	1.6
'9	0.0	1.0
'10	0.0	1.3
11-15	0.0	1.6
16-20	0.0	0.6
21-50	0.0	0.8
51-100	0.0	0.3
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	6	6
'2	0	602
'3	0	384
'4	0	288
'5	0	155
'6	0	150
'7	0	140
'8	0	80
'9	0	54
'10	0	80
11-15	0	123
16-20	0	72
21-50	0	137
51-100	0	125
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	85.7	0.1
'2	0.0	14.6
'3	0.0	9.3
'4	0.0	7.0
'5	0.0	3.8
'6	0.0	3.6
'7	0.0	3.4
'8	0.0	1.9
'9	0.0	1.3
'10	0.0	1.9
11-15	0.0	3.0
16-20	0.0	1.7
21-50	0.0	3.3
51-100	0.0	3.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
